Investigation.Type,Location,Abbreviation,Country,Aircraft.damage,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition
Accident,LAKEWOOD,CO,United States,Substantial,BELL,206L-3,1.0,Turbo Shaft,Business,0.0,0.0,0.0,2.0,VMC
Accident,ROCK HILL,SC,United States,Substantial,PIPER,PA-31-350,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC
Accident,COLQUITT,GA,United States,Substantial,AIR TRACTOR,AT-301,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,STONESBORO,SC,United States,Substantial,HILLER,UH-12ET,1.0,Turbo Shaft,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,WILLIAMS,CA,United States,Substantial,PZL-MIELEC,M-18A,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,GOULD,AR,United States,Substantial,AIR TRACTOR,AT-301,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,LAWRENCEBURG,TN,United States,Substantial,AIR TRACTOR,AT-401-B,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,QUEEN CREEK,AZ,United States,Destroyed,AIR TRACTOR,502A,1.0,Turbo Prop,Aerial Application,1.0,0.0,0.0,0.0,VMC
Accident,BUCKEYE,AZ,United States,Substantial,AYRES,S2R-600,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,EPHRATA,WA,United States,Substantial,GULFSTREAM-SCHWEIZER,G-164B,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,KAUNAKAKAI,HI,United States,Destroyed,ROCKWELL,NA-265-65,2.0,Turbo Fan,Executive/corporate,6.0,0.0,0.0,0.0,VMC
Accident,IONIA,KS,United States,Substantial,WEATHERLY,201C,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,FRENCHVILLE,PA,United States,Substantial,BELL,UH-1H,1.0,Turbo Shaft,Aerial Application,1.0,0.0,0.0,0.0,VMC
Accident,BIGGS,CA,United States,Substantial,GRUMMAN,G-164A,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,BOULDER,UT,United States,Substantial,EAGLE AIRCRAFT CO.,DW-1,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,MUSKEGON,MI,United States,Destroyed,WSK PZL MIELEC,M-18A,1.0,Reciprocating,Aerial Application,1.0,0.0,0.0,0.0,VMC
Accident,MONTICELLO,MS,United States,Substantial,GRUMMAN,G-164B,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,ELGIN,ND,United States,Substantial,CESSNA,C-T188C,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,KILBOURNE,LA,United States,Destroyed,PZL-MIELEC,M-18A,1.0,Reciprocating,Aerial Application,0.0,1.0,0.0,0.0,VMC
Accident,FORT PIERCE,FL,United States,Substantial,SOUTHWEST FLORIDA AVIATION,SW204,1.0,Turbo Shaft,Aerial Application,0.0,0.0,0.0,1.0,IMC
Accident,TOMS RIVER,NJ,United States,Substantial,GRUMMAN,G-164-A,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,BUHL,ID,United States,Destroyed,SIKORSKY,S-58,1.0,Reciprocating,Aerial Application,0.0,1.0,0.0,0.0,VMC
Accident,SUBLETTE,KS,United States,Substantial,CESSNA,A188B,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,GARWOOD,TX,United States,Substantial,AIR TRACTOR,AT-301,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,0.0,VMC
Accident,MARMADUKE,AR,United States,Destroyed,PZL-MIELEC,M-18A,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,0.0,VMC
Accident,GARWOOD,TX,United States,Substantial,AIR TRACTOR,AT-301,1.0,Reciprocating,Aerial Application,1.0,0.0,0.0,0.0,VMC
Accident,THIBODAUX,LA,United States,Substantial,AIR TRACTOR,AT-401B,1.0,Reciprocating,Aerial Application,0.0,1.0,0.0,0.0,VMC
Accident,OAKLEY,KS,United States,Substantial,PIPER,PA-36-200,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC
Accident,NATCHITOCHES,LA,United States,Destroyed,GRUMMAN-SCHWEIZER,G164B,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,PIONEER,LA,United States,Destroyed,CESSNA,A188B,1.0,Reciprocating,Aerial Application,1.0,0.0,0.0,0.0,VMC
Accident,COLFAX,WA,United States,Substantial,GRUMMAN-SCHWEIZER,G-164B,1.0,Reciprocating,Aerial Application,0.0,1.0,0.0,0.0,VMC
Accident,WELSH,LA,United States,Substantial,GULFSTREAM-SCHWEIZER,G-164D,1.0,Turbo Prop,Aerial Application,0.0,0.0,1.0,0.0,VMC
Accident,MADDOCK,ND,United States,Destroyed,PIPER,PA-25-235,1.0,Reciprocating,Aerial Application,0.0,1.0,0.0,0.0,VMC
Accident,INDIANAPOLIS,IN,United States,Substantial,CESSNA,T210N,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC
Accident,LEVELOCK,AK,United States,Substantial,DE HAVILLAND,DHC-2,1.0,Reciprocating,Business,0.0,0.0,0.0,7.0,VMC
Accident,HELENA,AR,United States,Destroyed,AYRES,S2R-T34,1.0,Turbo Prop,Aerial Application,1.0,0.0,0.0,0.0,VMC
Accident,LOUISVILLE,KY,United States,Substantial,CESSNA,210,1.0,Reciprocating,Business,0.0,0.0,2.0,0.0,VMC
Accident,ORCHARD,CO,United States,Destroyed,CESSNA,172K,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC
Accident,BOARDMAN,OR,United States,Destroyed,AYRES,S2R-G10,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,ERIE,CO,United States,Substantial,CESSNA,310C,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC
Accident,HEYBURN,ID,United States,Substantial,HUGHES,369D,1.0,Turbo Shaft,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,MAYER,AZ,United States,Substantial,CESSNA,182K,1.0,Reciprocating,Business,0.0,0.0,1.0,0.0,VMC
Accident,BOVINA,TX,United States,Substantial,PIPER,PA-36-285,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,0.0,VMC
Accident,PORTLAND,ND,United States,Substantial,AIR TRACTOR,AT-502,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,JOLIET,IL,United States,Substantial,BEECH,B200,2.0,Turbo Prop,Executive/corporate,0.0,0.0,2.0,3.0,VMC
Accident,LIVE OAK,CA,United States,Destroyed,GARLICK,HH-1K,1.0,Turbo Shaft,Aerial Application,1.0,0.0,0.0,0.0,VMC
Accident,SAINT VINCENT,MN,United States,Substantial,PIPER,PA-36-285,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,TOLNA,ND,United States,Destroyed,WEATHERLY,201C,1.0,Reciprocating,Aerial Application,1.0,0.0,0.0,0.0,VMC
Accident,BELZONI,MS,United States,Substantial,CESSNA,A188B,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,BROWNFIELD,TX,United States,Substantial,AYRES,S2R-G10,1.0,Turbo Prop,Aerial Application,0.0,0.0,1.0,0.0,VMC
Accident,INVERNESS,MS,United States,Destroyed,CESSNA,A188B,1.0,Reciprocating,Aerial Application,1.0,0.0,0.0,0.0,VMC
Accident,KING CITY,CA,United States,Destroyed,GRUMMAN,G-164B,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,HAINES,OR,United States,Substantial,BELL,47G,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,0.0,VMC
Accident,ANAHUAC,TX,United States,Destroyed,AYRES,S2R-T34,1.0,Turbo Prop,Aerial Application,0.0,0.0,1.0,0.0,VMC
Accident,CHAMPION,NE,United States,Substantial,PZL-MIELEC,M-18A,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,NORTH ELBA,NY,United States,Substantial,CESSNA,172G,1.0,Reciprocating,Business,0.0,2.0,0.0,0.0,VMC
Accident,PINE BLUFF,AR,United States,Substantial,AERO COMMANDER,685,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC
Accident,MOSCOW,TX,United States,Substantial,SCHWEIZER,G-164B,1.0,Turbo Prop,Aerial Application,0.0,1.0,0.0,0.0,VMC
Accident,CHASE,LA,United States,Substantial,CESSNA,A188B,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,0.0,VMC
Accident,NASHVILLE,TN,United States,Substantial,CESSNA,560 XL,2.0,Turbo Fan,Executive/corporate,0.0,0.0,0.0,7.0,VMC
Accident,MCVILLE,ND,United States,Substantial,GRUMMAN,G164,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,WASHINGTON,KS,United States,Substantial,CESSNA,A188B,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,GRIDLEY,CA,United States,Substantial,GRUMMAN,G-164A,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,BURLEY,ID,United States,Destroyed,WSK PZL MIELEC,M-18 DROMADER,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,0.0,VMC
Accident,RIPLEY,CA,United States,Substantial,AIR TRACTOR,AT-401,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,KAPLAN,LA,United States,Substantial,GRUMMAN-SCHWEIZER,G-164B,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,ROCK DELL,MN,United States,Substantial,CESSNA,T188C,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,VILLE PLATTE,LA,United States,Destroyed,GRUMMAN-SCHWEIZER,G-164B,1.0,Turbo Prop,Aerial Application,1.0,0.0,0.0,0.0,VMC
Accident,HOLSTEIN,NE,United States,Substantial,BELL,47G-3B-1,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,0.0,VMC
Accident,STREATOR,IL,United States,Substantial,WEATHERLY,201B,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,COVINGTON,TN,United States,Substantial,BELL,47G-2A,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,PANHANDLE,TX,United States,Destroyed,AIR TRACTOR,AT-401,1.0,Reciprocating,Aerial Application,1.0,0.0,0.0,0.0,VMC
Accident,COLUMBUS,OH,United States,Substantial,CESSNA,172M,1.0,Reciprocating,Business,0.0,0.0,1.0,0.0,VMC
Accident,STATESBORO,GA,United States,Substantial,CESSNA,A188B,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,0.0,VMC
Accident,GRAND VIEW,ID,United States,Substantial,ROCKWELL,S-2R,1.0,Turbo Prop,Aerial Application,0.0,0.0,1.0,0.0,VMC
Accident,LONE PINE,OR,United States,Substantial,CESSNA,188,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,0.0,VMC
Accident,HARRISBURG,IL,United States,Substantial,CESSNA,210N,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC
Accident,SHERMAN,TX,United States,Substantial,SCHWEIZER,269C,1.0,Reciprocating,Business,0.0,0.0,1.0,1.0,VMC
