Investigation.Type,Location,Abbreviation,Country,Aircraft.damage,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition
Accident,Belle Glade,FL,United States,Destroyed,AIR TRACTOR,502B,1.0,Turbo Prop,Aerial Application,1.0,0.0,0.0,1.0,VMC
Accident,BENSON,MN,United States,Substantial,AERO COMMANDER,S2R,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,ST. GEORGE,UT,United States,Substantial,PIPER,PA-32RT-300T,1.0,Reciprocating,Business,0.0,0.0,0.0,4.0,VMC
Accident,TAFT,TX,United States,Substantial,AIR TRACTOR,AT-402B,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Incident,Wheeling,IL,United States,Minor,PIPER,PA-31T1,2.0,Turbo Prop,Business,0.0,0.0,0.0,2.0,VMC
Accident,BATCHELOR,LA,United States,Substantial,AIR TRACTOR,AT-301,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,BOULDER CITY,NV,United States,Substantial,CESSNA,340A,2.0,Reciprocating,Business,0.0,0.0,0.0,3.0,VMC
Accident,NEWPORT,RI,United States,Substantial,CESSNA,P206,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC
Accident,SEDAN,NM,United States,Substantial,AIR TRACTOR,AT-502,1.0,Turbo Prop,Aerial Application,0.0,0.0,1.0,1.0,VMC
Accident,MOBILE,AL,United States,Substantial,SOCATA,TBM 700B,1.0,Turbo Prop,Executive/corporate,1.0,0.0,0.0,1.0,VMC
Accident,Eagleville,CA,United States,Destroyed,CESSNA,TR182,1.0,Reciprocating,Business,2.0,0.0,0.0,1.0,IMC
Accident,Pond Creek,OK,United States,Destroyed,AIR TRACTOR,AT-502B,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,AURORA,CO,United States,Substantial,BELL,206-L4,1.0,Turbo Shaft,Business,0.0,0.0,1.0,2.0,VMC
Accident,BAXTERVILLE,MS,United States,Substantial,WSK PZL MIELEC,M-18A,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,BENKELMAN,NE,United States,Substantial,AIR TRACTOR,AT-602,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,KINTA,OK,United States,Substantial,CESSNA,A188B,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,BASIN CITY,WA,United States,Substantial,GRUMMAN,G-164B,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,Edna,TX,United States,Destroyed,AIR TRACTOR,AT-502B,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,WILLOWS,CA,United States,Substantial,AYRES,S2R-T34,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,Flushing,NY,United States,Minor,DASSAULT AVIATION,DA-50,3.0,Turbo Fan,Business,0.0,0.0,1.0,17.0,VMC
Accident,BRYAN,TX,United States,Substantial,CESSNA,182E,1.0,Reciprocating,Business,0.0,0.0,0.0,5.0,VMC
Accident,MELVILLE,ND,United States,Substantial,WEATHERLY,620A,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,1.0,VMC
Accident,PALESTINE,AR,United States,Substantial,AYRES,S2R-G6,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,Little River,CA,United States,Destroyed,CESSNA,172B,1.0,Reciprocating,Business,1.0,0.0,0.0,1.0,VMC
Accident,SENECA,KS,United States,Substantial,GRUMMAN,G-164A,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,MCCARTHY,AK,United States,Substantial,CESSNA,320,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC
Accident,CHEYENNE,WY,United States,Substantial,HILLER,UH-12E,1.0,Turbo Shaft,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,Orangeburg,SC,United States,Destroyed,CESSNA,172N,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC
Accident,SUPERIOR,NE,United States,Substantial,GRUMMAN,G-164B,1.0,Reciprocating,Aerial Application,0.0,1.0,0.0,1.0,VMC
Accident,WEST CHICAGO,IL,United States,Substantial,MOONEY,M20S,1.0,Reciprocating,Business,0.0,0.0,0.0,3.0,VMC
Accident,REYDELL,AR,United States,Substantial,WSK PZL MIELEC,M-18A,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,1.0,VMC
Accident,GATLINBURG,TN,United States,Substantial,BEECH,58P,2.0,Reciprocating,Business,0.0,0.0,0.0,3.0,VMC
Accident,Raywood,TX,United States,Destroyed,AIR TRACTOR,AT-502A,1.0,Turbo Prop,Aerial Application,0.0,0.0,1.0,1.0,VMC
Accident,SHILOH,NJ,United States,Substantial,GRUMMAN,G-164,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,MARICOPA,AZ,United States,Substantial,AYRES,S2R-G10,1.0,Turbo Prop,Aerial Application,0.0,0.0,1.0,1.0,VMC
Accident,DUMAS,AR,United States,Substantial,DROMADER,M-18,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,ROYAL CITY,WA,United States,Substantial,ROCKWELL INTERNATIONAL,S-2R,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,Porterville,CA,United States,Destroyed,BELL,47-G4,1.0,Reciprocating,Aerial Application,1.0,0.0,0.0,1.0,VMC
Accident,GRUVER,TX,United States,Substantial,PIPER,PA-36-300,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,1.0,VMC
Accident,HORNERSVILLE,MO,United States,Substantial,CESSNA,A188B,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,DYESS,AR,United States,Substantial,"ALLIED AG CAT PRODUCTIONS, INC",G-164B,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,MARKED TREE,AR,United States,Substantial,AYRES,S2R-T34,1.0,Turbo Prop,Aerial Application,0.0,1.0,0.0,1.0,VMC
Accident,BAXTER,MN,United States,Substantial,BELL,206B,1.0,Turbo Shaft,Business,0.0,0.0,2.0,1.0,VMC
Accident,COVERT,MI,United States,Substantial,AIR TRACTOR,AT-301,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,LAS VEGAS,NM,United States,Substantial,AIR TRACTOR,AT-802A,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,ILIAMNA,AK,United States,Substantial,DE HAVILLAND,DHC-2,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC
Accident,Dexter,MO,United States,Destroyed,ROBINSON,R-22 Beta,1.0,Reciprocating,Aerial Application,1.0,0.0,0.0,1.0,VMC
Accident,Coleta,IL,United States,Destroyed,ROBINSON,R44 II,1.0,Reciprocating,Business,3.0,0.0,0.0,1.0,VMC
Accident,PEARISBURG,VA,United States,Substantial,AIR TRACTOR,402A,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,GLENDO,WY,United States,Substantial,AIR TRACTOR,AT-301,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,SANDUSKY,MI,United States,Substantial,BELL,47G-5A,1.0,Reciprocating,Business,0.0,0.0,0.0,3.0,VMC
Accident,Elk Mound,WI,United States,Destroyed,HILLER,UH-12E,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,1.0,VMC
Accident,VEGA,TX,United States,Substantial,SCHWEIZER,G-164B,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,BRAZIL,IN,United States,Substantial,PIPER,PA-28-161,1.0,Reciprocating,Business,0.0,0.0,0.0,4.0,VMC
Accident,BELLE GLADE,FL,United States,Substantial,WSK PZL MIELEC,M-18A,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,LANSING,IL,United States,Substantial,BELL,206B3,1.0,Turbo Shaft,Business,0.0,0.0,0.0,1.0,VMC
Accident,La Grande,OR,United States,Destroyed,SIKORSKY,UH-19D,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,SALINAS,CA,United States,Substantial,BELL,47 G5,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,ENGLEWOOD,CO,United States,Substantial,PIPER,PA-46-310P,1.0,Reciprocating,Business,0.0,0.0,0.0,3.0,VMC
Accident,FT. YATES,ND,United States,Substantial,CONTINENTAL COPTERS,MK6B,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,TULELAKE,CA,United States,Substantial,AERO COMMANDER,S2R,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,1.0,VMC
Accident,Cheyenne,WY,United States,Destroyed,CASA,2.111,2.0,Reciprocating,Business,2.0,0.0,0.0,1.0,VMC
Accident,MCGEHEE,AR,United States,Substantial,CESSNA,A188B,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,Cleveland,MN,United States,Destroyed,BELL,47G-5,1.0,Turbo Shaft,Aerial Application,0.0,1.0,0.0,1.0,VMC
Accident,LITTLE ROCK,AR,United States,Substantial,MIKOYAN,MIG-15BIS,1.0,Turbo Jet,Business,0.0,0.0,0.0,1.0,VMC
Accident,PORT HURON,MI,United States,Substantial,PIPER,PA-34-220T,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC
Accident,ESMOND,ND,United States,Substantial,AYRES,S2R-G6,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,Staples,MN,United States,Destroyed,AYRES CORPORATION,S2R-G10,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,PORTERVILLE,CA,United States,Substantial,BELL,47G-2A,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,HERMISTON,OR,United States,Substantial,ROCKWELL,S-2R,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,HAMILTON CITY,CA,United States,Substantial,GRUMMAN,G-164,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,RHINEBECK,NY,United States,Substantial,AIR TRACTOR,AT-301,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,1.0,VMC
Accident,JACKSON,NJ,United States,Substantial,BELL,47G-2A,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,TULARE,CA,United States,Substantial,TEXAS HELICOPTER,OH-13E-M74,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,1.0,VMC
Accident,GIRARD,GA,United States,Substantial,AIR TRACTOR,AT401B,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,OSHKOSH,WI,United States,Substantial,"VANS AIRCRAFT, INC.",RV-6T,1.0,Reciprocating,Business,0.0,0.0,0.0,3.0,VMC
Accident,MITCHELL,SD,United States,Substantial,ROCKWELL INTERNATIONAL,S-2R,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,1.0,VMC
Accident,OSHKOSH,WI,United States,Substantial,GERLACH,Skyraider II,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC
Accident,MERCED,CA,United States,Substantial,BELL,206B,1.0,Turbo Shaft,Business,0.0,0.0,0.0,3.0,VMC
Accident,BYRON,IL,United States,Substantial,TEXAS HELICOPTER,OH-13E,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,1.0,VMC
Accident,SITKA,AK,United States,Substantial,AVIAT,A-1A,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC
Accident,HEALY,AK,United States,Substantial,PIPER,PA-18,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC
Accident,DOLAND,SD,United States,Substantial,WEATHERLY,620A,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,Sparta,MI,United States,Destroyed,PIPER,PA-25-235,1.0,Reciprocating,Aerial Application,1.0,0.0,0.0,1.0,VMC
Accident,APLINGTON,IA,United States,Substantial,AIR TRACTOR,AT-301,1.0,Reciprocating,Aerial Application,0.0,1.0,0.0,1.0,VMC
Accident,HUDSON,IL,United States,Substantial,AIR TRACTOR,AT-502,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,KING SALMON,AK,United States,Substantial,DE HAVILLAND,DHC-2,1.0,Reciprocating,Business,0.0,0.0,0.0,5.0,VMC
Accident,BRANDON,WI,United States,Substantial,PIPER,PA-25,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,FREEMAN,SD,United States,Substantial,CESSNA,188A,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,Breckenridge,MI,United States,Destroyed,AYRES,S2R-G6,1.0,Turbo Prop,Aerial Application,1.0,0.0,0.0,1.0,VMC
Accident,Blytheville,AR,United States,Destroyed,AYRES,S2R-T660,1.0,Turbo Prop,Aerial Application,0.0,0.0,1.0,1.0,VMC
Accident,COLORADO CITY,TX,United States,Substantial,CESSNA,T188C,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,Clearwater,FL,United States,Destroyed,PIPER,PA-31,2.0,Reciprocating,Business,2.0,1.0,0.0,1.0,VMC
Accident,WESTSIDE,IA,United States,Substantial,AIR TRACTOR,AT-502B,1.0,Turbo Prop,Aerial Application,0.0,0.0,1.0,1.0,VMC
Accident,MONETTE,AR,United States,Substantial,CESSNA,188B,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,EUDORA,AR,United States,Substantial,AYRES,S-2R,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,DEER GROVE,IL,United States,Substantial,CESSNA,182,1.0,Reciprocating,Business,0.0,0.0,1.0,1.0,VMC
Accident,WINNSBORO,LA,United States,Substantial,AIR TRACTOR,AT-301,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,Cayey,PR,United States,Destroyed,BRITTEN-NORMAN,BN-2A-27,2.0,Reciprocating,Executive/corporate,0.0,0.0,6.0,1.0,VMC
Accident,SIKESTON,MO,United States,Substantial,BELLANCA,8GCBC,1.0,Reciprocating,Business,0.0,0.0,1.0,1.0,VMC
Accident,KEKAHA,HI,United States,Substantial,HILLER,UH12E,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,KISATCHIE,LA,United States,Substantial,BELL,206B-3,1.0,Turbo Shaft,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,CASH,AR,United States,Substantial,AYRES,S2R-G6,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,DIAMOND,OR,United States,Substantial,BELL,47G-3B-1,1.0,Reciprocating,Business,0.0,1.0,0.0,1.0,VMC
Accident,Farwell,TX,United States,Destroyed,AIR TRACTOR,AT-502B,1.0,Turbo Prop,Aerial Application,1.0,0.0,0.0,1.0,VMC
Accident,KNEELAND,CA,United States,Substantial,BEECH,58,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC
Accident,GREENFIELD,CA,United States,Substantial,BELL,47G-5,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,MCGRATH,AK,United States,Substantial,MAULE,M-7-235,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC
Accident,Fort Pierce,FL,United States,Destroyed,AIR TRACTOR,AT-502,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,TANANA,AK,United States,Substantial,PIPER,PA-18-150,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC
Accident,HUNTSVILLE,AL,United States,Substantial,HUGHES,269A,1.0,Reciprocating,Business,0.0,1.0,0.0,1.0,VMC
Accident,Randolph,UT,United States,Destroyed,CESSNA,182L,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC
Accident,LEMOORE,CA,United States,Substantial,ROCKWELL INTERNATIONAL,S-2R,1.0,Turbo Prop,Aerial Application,0.0,1.0,0.0,1.0,VMC
Accident,EVANSVILLE,MN,United States,Substantial,HUGHES,369HS,1.0,Turbo Shaft,Aerial Application,0.0,0.0,1.0,1.0,VMC
Accident,Spartanburg,SC,United States,Destroyed,PIPER,PA-30,2.0,Reciprocating,Business,1.0,0.0,0.0,1.0,IMC
Accident,Hutchinson,KS,United States,Destroyed,COMMANDER AIRCRAFT,114TC,1.0,Reciprocating,Business,1.0,0.0,0.0,1.0,IMC
Accident,SAN ANGELO,TX,United States,Substantial,AIR TRACTOR,AT-301,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,MONMOUTH,OR,United States,Substantial,BELL,47G-3B-2,1.0,Turbo Shaft,Aerial Application,0.0,1.0,0.0,1.0,VMC
Accident,Montgomery,TX,United States,Destroyed,BEECH,A45,1.0,Reciprocating,Business,2.0,0.0,0.0,1.0,VMC
Accident,BIRMINGHAM,AL,United States,Substantial,CESSNA,182-K,1.0,Reciprocating,Business,0.0,0.0,3.0,1.0,VMC
Accident,READING,PA,United States,Substantial,SOCATA,TBM 700,1.0,Turbo Prop,Executive/corporate,0.0,0.0,0.0,1.0,IMC
Accident,Vestavia Hills,AL,United States,Destroyed,CESSNA,441,2.0,Turbo Prop,Executive/corporate,2.0,0.0,0.0,1.0,VMC
Accident,Greeneville,TN,United States,Destroyed,CESSNA,414,2.0,Reciprocating,Business,4.0,1.0,0.0,1.0,IMC
Incident,Teterboro,NJ,United States,Minor,CANADAIR,CL-600,2.0,Turbo Fan,Business,0.0,0.0,0.0,2.0,VMC
Accident,Helendale,CA,United States,Destroyed,LEARJET,24B,2.0,Turbo Jet,Executive/corporate,2.0,0.0,0.0,1.0,VMC
Accident,ENCINO,TX,United States,Substantial,ROBINSON,R-22 Beta,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC
Accident,RAVENNA,OH,United States,Substantial,CESSNA,421,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,5.0,VMC
Accident,COLLEGE PARK,MD,United States,Substantial,CIRRUS DESIGN CORP.,SR-22,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC
Accident,JEFFERSONVILLE,IN,United States,Substantial,CESSNA,172M,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC
Accident,YAKUTAT,AK,United States,Substantial,CESSNA,182M,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC
Accident,REDMOND,OR,United States,Substantial,LANCAIR,LC42-550FG,1.0,Reciprocating,Business,0.0,0.0,0.0,4.0,VMC
Accident,SUNBURG,MN,United States,Substantial,AMERICAN CHAMPION (ACAC),8GCBC,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC
Accident,TRACY,CA,United States,Substantial,GRUMMAN-SCHWEIZER,G-164B,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,DAYTONA BEACH,FL,United States,Substantial,ROBINSON,R44,1.0,Reciprocating,Business,0.0,0.0,3.0,1.0,VMC
Accident,Decatur,TX,United States,Destroyed,BELL,206B,1.0,Turbo Shaft,Aerial Application,0.0,0.0,1.0,1.0,VMC
Accident,Ville Platte,LA,United States,Destroyed,AYRES,S2R-T34,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,Hazen,AR,United States,Destroyed,GRUMMAN,G-164C,1.0,Reciprocating,Aerial Application,1.0,0.0,0.0,1.0,VMC
Accident,GRAPE CREEK,TX,United States,Substantial,CESSNA,T210M,1.0,Reciprocating,Business,0.0,0.0,2.0,1.0,VMC
Accident,MARIPOSA,CA,United States,Substantial,PIPER,PA-28-180,1.0,Reciprocating,Business,0.0,0.0,1.0,1.0,VMC
Accident,SPRINGDALE,AR,United States,Substantial,BEECH,BE-200,2.0,Turbo Prop,Business,0.0,0.0,0.0,2.0,VMC
Accident,LOS BANOS,CA,United States,Substantial,AYRES,S-2R,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,1.0,VMC
Accident,CALIPATRIA,CA,United States,Substantial,AYRES,S2R-600,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,Plain Dealing,LA,United States,Destroyed,AIR TRACTOR,AT-301,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,GALT,CA,United States,Substantial,QUINN AVIATION INC.,E L Tom Cat MK-5A,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,CONROE,TX,United States,Substantial,BEECH,A36,1.0,Reciprocating,Business,0.0,2.0,1.0,1.0,IMC
Accident,PALOUSE,WA,United States,Substantial,CESSNA,A188B,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,Planada,CA,United States,Destroyed,CESSNA,188B,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,MATTAWA,WA,United States,Substantial,ROCKWELL,S-2R,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,MAMOU,LA,United States,Substantial,GRUMMAN,G-164B,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,OMAHA,NE,United States,Substantial,SWEARINGEN,SA226-T,2.0,Turbo Prop,Business,0.0,0.0,0.0,1.0,VMC
Accident,BAKERSFIELD,CA,United States,Substantial,BELL,47G-4A,1.0,Reciprocating,Aerial Application,0.0,1.0,0.0,1.0,VMC
Accident,NEZPERCE,ID,United States,Substantial,GRUMMAN,G-164,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,OVERLAND PARK,KS,United States,Substantial,PIPER,PA-24-250,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC
Accident,FRIONA,TX,United States,Substantial,AYRES,S2R-T34,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,GOLIAD,TX,United States,Substantial,AIR TRACTOR,AT-402B,1.0,Turbo Prop,Aerial Application,1.0,0.0,0.0,1.0,VMC
Accident,Greenwood,SC,United States,Destroyed,CIRRUS DESIGN CORP.,SR20,1.0,Reciprocating,Business,4.0,0.0,0.0,1.0,VMC
Accident,San Angelo,TX,United States,Destroyed,AIR TRACTOR,AT-502B,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,HAINES,OR,United States,Substantial,HILLER,UH-12E,1.0,Turbo Shaft,Aerial Application,0.0,0.0,1.0,1.0,VMC
Accident,BRINKLEY,AR,United States,Substantial,WSK PZL MIELEC,M-18,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,COLUMBIA,ME,United States,Substantial,GARLICK HELICIPTERS INC.,OH-58A,1.0,Turbo Shaft,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,Willoughby,OH,United States,Destroyed,CESSNA,310R,2.0,Reciprocating,Business,1.0,0.0,0.0,1.0,IMC
Incident,Houston,TX,United States,Minor,LOCKHEED,1329-23E,4.0,Turbo Fan,Business,0.0,0.0,0.0,4.0,VMC
Accident,DONNA,TX,United States,Substantial,AIR TRACTOR,AT-301,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,1.0,VMC
Accident,COLD BAY,AK,United States,Substantial,PIPER,PA-18-150,1.0,Reciprocating,Business,1.0,1.0,0.0,1.0,VMC
Accident,FLAGLER,CO,United States,Substantial,PIPER,PA-25-235,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,BEEDEVILLE,AR,United States,Substantial,AIR TRACTOR,AT-402,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,LAMAR,CO,United States,Substantial,CESSNA,T188C,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,TARZAN,TX,United States,Substantial,AIR TRACTOR,AT-502,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,BEAVER,UT,United States,Substantial,AYRES CORPORATION,S-2R,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,Vermontville,MI,United States,Destroyed,HALL,Lancair IV-P,1.0,Reciprocating,Business,3.0,0.0,0.0,1.0,IMC
Accident,REXBURG,ID,United States,Substantial,GRUMMAN,G-164,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,1.0,VMC
Accident,WELDON,AR,United States,Substantial,AIR TRACTOR,AT-502B,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,2.0,VMC
Accident,Weldon,AR,United States,Minor,AIR TRACTOR,AT-502B,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,2.0,VMC
Accident,COTTON PLANT,AR,United States,Substantial,AIR TRACTOR,AT-301,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,LA FERIA,TX,United States,Substantial,SNOW,S2C,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,DUMAS,AR,United States,Substantial,WSK PZL MIELEC,M-18A,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,Midvale,ID,United States,Destroyed,GRUMMAN,G-164B,1.0,Reciprocating,Aerial Application,0.0,1.0,0.0,1.0,VMC
Accident,RICHVALE,CA,United States,Substantial,SCHWEIZER AIRCRAFT CORP.,G-164B,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,TUCKER,AR,United States,Substantial,AIR TRACTOR,AT-402,1.0,Turbo Prop,Aerial Application,1.0,0.0,0.0,1.0,VMC
Accident,Circleville,UT,United States,Destroyed,EAGLE,DW-1,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,1.0,VMC
Accident,Joiner,AR,United States,Destroyed,AIR TRACTOR,AT-502,1.0,Turbo Prop,Aerial Application,0.0,1.0,0.0,1.0,VMC
Accident,NEEDVILLE,TX,United States,Substantial,ROCKWELL INTERNATIONAL,S-2R,1.0,Turbo Prop,Aerial Application,0.0,0.0,1.0,1.0,VMC
Accident,HOPE,ND,United States,Substantial,GRUMMAN-SCHWEIZER,G-164B,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,EAGLE LAKE,TX,United States,Substantial,AYRES,S-2R,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,WASILLA,AK,United States,Substantial,DEHAVILLAND,DHC-2,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC
Accident,RUSH SPRINGS,OK,United States,Substantial,CESSNA,188B,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,1.0,VMC
Accident,GARWOOD,TX,United States,Substantial,GRUMMAN,G-164A,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,PROSSER,NE,United States,Substantial,CESSNA,A188B,1.0,Reciprocating,Aerial Application,1.0,0.0,0.0,1.0,VMC
Accident,MEDFORD,OR,United States,Substantial,BELL,47G-3B-1,1.0,Turbo Shaft,Aerial Application,0.0,1.0,0.0,1.0,VMC
Accident,CROWLEY,LA,United States,Substantial,AIR TRACTOR,AT-502B,1.0,Turbo Prop,Aerial Application,0.0,0.0,1.0,1.0,VMC
Accident,BRITTON,SD,United States,Substantial,AIR TRACTOR,AT-401,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,Cushing,OK,United States,Destroyed,BELL,206B,1.0,Turbo Shaft,Business,2.0,3.0,0.0,1.0,VMC
